strawc10bsc,10? Black cocktail straws  (92-835c),,,,20x500ctn,
strawc10bsce,10? Black cocktail straws  (92-835) ,,,,500pcs,
,STRAWS&STIR STICKS  ,,,,,
coffees,Coffee stirrer 7? ,,,,1000pcs,
stir,Coffee stirrer 4? ,,,,10x1000pcs,
mud4.5,Muddlers 4.5?  (92-945) ,,,,2000pcs,
mud6,Muddlers 6?     (92-942),,,,2000pcs,
sip5r,Sip&mix 5?      (92-751)   (Red striped),,,,1000pcs,
sipe,Sip&mix 5?      (92-755)   (Black),,,,1000pcs,
strawc6b,6? Black cocktail straws  (92-785)            ,,,,9x500pcs,
strawc6bc,6? Black cocktail straws  (92-785c),,,,20x500pcs,
strawc6be,6? Black cocktail straws   (92-785)  ,,,,1X500pcs,
strawc6bs,6? Black super cocktail straws  (92-815)   ,,,,9x500pcs,
strawc6bsc,6? Black super cocktail straws  (92-815c),,,,20X500pcs,
strawc6bse,6? Black super cocktail straw (92815) ,,,,1X500pcs,
strawc6r,6? red cocktail straws  (92-781)                  ,,,,9x500ctn,
strawc6rc,6? red cocktail straws  (92-780c),,,,20x500ctn,
Strawc8b,8? Black cocktail straws  (92-795,,,,9x500ctn,
Strawc8bc,8? Black cocktail straws  (92-795c),,,,20x500ctn,
Strawc8be,8? Black cocktail straws  (92-795) ,,,,1x500pcs,
Strawc8bs,8? Black  super cocktail straws  (92-825)   ,,,,9x500ctn,
Strawc8bsc,8? Black  super cocktail straws  (92-825c),,,,20x500ctn,
Strawc8bse,8? Black super cocktail straws   ( 92-825),,,,1x500pcs,
strawf,8? flexible straws  red & white stripe (92-237),,,,50x250pcs,
strawfe,8? flexible straws  red & white stripe (92-237),,,,1x250pcs,
Strawf -w,8? flexible straws  (white) (92-237),,,,50x250pcs ,
strawfwe,8? flexible straws  (white) (92-237),,,,1x250pcs,
strawfww,8? flexible straws  (white wrapped),,,,50x250ctn,
strawfwwe,8? flexible straws  (white wrapped),,,,1x250pcs,
strawsff,"8"" Flex **Fluo**Assorted (92-1379)",,,,9X500,
strawm,8? milkshake straws  (92-057) ,,,,50x250ctn,
strawme,8? milkshake straws  (92-057) ,,,,1x250pcs,
strawr,8? Regular straws  (white) (92-037),,,,50x500ctn,
strawre,8? Regular straws  (white) (92-037) ,,,,1x500pcs,
strawm10,10? milkshake straws  (92-056)                 ,,,,50x250ctn,
strawm10e,10? milkshake straws  (92-056)                 ,,,,250pcs,
strawc10bsc,10? Black cocktail straws  (92-835c),,,,20x500ctn,
strawc10bsce,10? Black cocktail straws  (92-835) ,,,,500pcs,
,PICK/ SKEWERS ,,,,,
umb,Umbrella / parasol picks,,,,,
tooth,Toothpicks : Mint cellophane Wrapped   ,,,,10x1000,
chop,Chopsticks : ó Wrapped,,,,100pcs,
steakm,Steak marker   (Medium),,,,2000ctn,
steakmr,Steak marker   (Medium rare),,,,2000ctn,
steakmw,Steak marker   (Medium well),,,,2000ctn,
steakr,Steak marker   (Rare),,,,2000ctn,
steakw,Steak marker   (well done),,,,2000ctn,
skewer4.5,4.5? wooden skewers ,,,,1000pcs,
skewer7,7?  wooden skewers,,,,1000pcs,
bamboo6,6? Bamboo skewer ,,,,250pcs,
bamboo8,8? Bamboo skewer,,,,100pcs,
bamboo4,4? knotted bamboo skewer,,,,100pcs,
bamboo6r,6? bamboo skewer rifle shaped,,,,25x100,
frill3,3? frill picks  (Assorted box),,,,10000pcs,
frill4,4? frill picks  (Assorted box),,,,1000pcs,
ice,3.5 ? ice pick clear ,,,,4x500,
ice4,4.5?  ice pick clear   (92-957),,,,4x500,
sword3a,3? sword picks  (Assorted),,,,2000pcs,
sword3b,3? sword picks  (black),,,,2000pcs,
,LINERS / GREASEPROOF ,,,,,
Linergp12c1,12x12 Chocolate greaseproof,,,,1000ctn,
Linergp14c1,14x14 Chocolate greaseproof,,,,1000ctn,
linergpblack,12?x12? greaseproof black checkered  (172046),,,,1000ctn,
linergpblue,12?x12? greaseproof blue checkered ,,,,1000ctn,
linergpgreen,12?x12? greaseproof green checkered ,,,,1000ctn,
linergpred,12?x12? greaseproof red checkered      (172045),,,,1000ctn,
